task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_mean
COADREAD_molecular_subtype,logistic_l2,mrna_only,mrna,0.0,3,135.0,0.8303511370209975,0.06417034150191246,0.834704110245906,0.9546579877727491
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.0,3,135.0,0.8686086817482503,0.0397808971956622,0.8668939133335417,0.964982499813193
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.1,3,135.0,0.797032421564888,0.056610744976739125,0.7887891644341593,0.9417315919753221
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.25,3,135.0,0.7594348150475222,0.031863104359508614,0.743110499560448,0.9219202491577677
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.5,3,135.0,0.6766817234412895,0.02409616271740244,0.6513362034517866,0.8583131079274263
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.75,3,135.0,0.5627035505782273,0.07915649251458746,0.5414759914243917,0.816333071453105
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,1.0,3,135.0,0.39836622836441155,0.05921030992347426,0.3997143780425514,0.7209120794951995
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.0,3,135.0,0.8686086817482503,0.0397808971956622,0.8668939133335417,0.964982499813193
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.1,3,135.0,0.8545312735514203,0.04405774819129762,0.8526996834530375,0.9630448997479819
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.25,3,135.0,0.8648070895815256,0.029642470604124255,0.8700628576789567,0.9609411059662042
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.5,3,135.0,0.8494863551040973,0.051833220111153974,0.8342315483698353,0.9612024777018134
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.75,3,135.0,0.806028508276751,0.027250896500966675,0.7991090818748198,0.9465437775472214
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,1.0,3,135.0,0.8322701857393812,0.034726558843516386,0.8094637465122502,0.9440174523582464
HNSC_HPV_status,extra_trees,mrna_only,mrna,0.0,3,147.0,0.9367818276109151,0.009256350825911005,0.9015151515151515,0.9812121212121213
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.0,3,147.0,0.9572779956218639,0.015049194857977403,0.931818181818182,0.9812121212121213
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.1,3,147.0,0.9521580635753865,0.017376071093720993,0.9242424242424243,0.9783030303030303
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.25,3,147.0,0.8973509253592638,0.02075508899736547,0.8484848484848485,0.9751515151515151
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.5,3,147.0,0.8591440925603226,0.04163179868315759,0.8030303030303031,0.9607272727272728
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.75,3,147.0,0.6925706735533268,0.04400051940123438,0.6439393939393939,0.9250909090909091
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,1.0,3,147.0,0.592267706302794,0.07962481782683434,0.5757575757575757,0.9178181818181819
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.0,3,147.0,0.9572779956218639,0.015049194857977403,0.931818181818182,0.9812121212121211
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.1,3,147.0,0.9412273626843793,0.03145379925791872,0.9090909090909092,0.9847272727272728
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.25,3,147.0,0.947245916298446,0.008867982435799001,0.9166666666666666,0.9884848484848486
