task,model,model_group,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd,f1_macro_ci95_low,f1_macro_ci95_high,roc_auc_ovr_macro_ci95_low,roc_auc_ovr_macro_ci95_high
HNSC_HPV_status,random_forest,tree_ensemble,10,0.9046199124554236,0.0615496485409937,0.964706736353078,0.0494919833349549,0.8664710450552331,0.942768779855614,0.9340312872745974,0.9953821854315584
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,10,0.8793765140262666,0.0889834106051108,0.9617118798739008,0.0344324511679433,0.8242240247357687,0.9345290033167644,0.9403704255357084,0.983053334212093
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.8746602613055291,0.0781484664128027,0.9581280073004812,0.0461135166032583,0.8262233400008586,0.9230971826101996,0.9295465535967689,0.9867094610041937
HNSC_HPV_status,mlp_early_fusion,static_nn,10,0.8530186429006914,0.0678607955342819,0.9764476522316244,0.0265402759663322,0.8109580860677059,0.8950791997336769,0.9599978187621492,0.9928974857010996
KIRC_grade_binary,random_forest,tree_ensemble,10,0.6783909214260851,0.0424761366799204,0.7335380199510635,0.0686348999286124,0.6520639391559035,0.7047179036962667,0.6909976682436434,0.7760783716584836
KIRC_grade_binary,extra_trees,tree_ensemble,10,0.6661723580117023,0.0639128871900277,0.7300510278771148,0.0672857118448034,0.6265587401215565,0.705785975901848,0.6883469116077064,0.7717551441465232
KIRC_grade_binary,hist_gradient_boosting,boosting,10,0.652881065586887,0.0962564352732211,0.7256924838446578,0.0981486939283326,0.5932207089041447,0.7125414222696292,0.6648592930965409,0.7865256745927747
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.6500511752583051,0.0440672562828364,0.711284950958864,0.0604963742607746,0.622738006841032,0.6773643436755783,0.6737889097210416,0.7487809921966865
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,10,0.6452828289540089,0.0662497213568505,0.703910481627873,0.0854002182801758,0.6042208262415358,0.686344831666482,0.6509788779494559,0.75684208530629
KIRC_grade_binary,logistic_elasticnet,linear,10,0.6392356828109781,0.0672056926065058,0.6892109500805152,0.0660413438046154,0.5975811629793015,0.6808902026426547,0.6482781011129917,0.7301437990480388
KIRC_grade_binary,mlp_early_fusion,static_nn,10,0.6382349970193186,0.0506523919125492,0.723888732040906,0.0709167342706769,0.6068403192530056,0.6696296747856316,0.6799340847557191,0.7678433793260928
PRAD_pathologic_T_stage,random_forest,tree_ensemble,10,0.683906720277633,0.0872966507946568,0.7733820662768032,0.0684074827324492,0.6297996955490022,0.7380137450062638,0.7309826692079002,0.8157814633457061
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,10,0.6818051704343653,0.0385660438081692,0.7493177387914229,0.0809183553912798,0.6579016888343382,0.7057086520343924,0.6991640225113467,0.7994714550714992
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,10,0.6782109905197392,0.0861686477008373,0.7712085769980507,0.0695699396905509,0.6248031093520089,0.7316188716874695,0.7280886816419233,0.814328472354178
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,10,0.6742293020059387,0.0601503471380807,0.7488499025341131,0.0738782250693557,0.6369477306007381,0.7115108734111393,0.703059704235009,0.7946401008332172
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.6722281186214205,0.07136870379553,0.7535380116959065,0.08923670179848,0.6279933377224558,0.7164628995203852,0.6982285308972761,0.8088474924945369
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,10,0.6662185286336493,0.0929291124944856,0.7459356725146199,0.0946778188647111,0.6086204679752144,0.7238165892920841,0.6872537524187884,0.8046175926104514
PRAD_pathologic_T_stage,logistic_elasticnet,linear,10,0.6307993040978872,0.0740419621899265,0.7092105263157895,0.0665370651146522,0.5849076204800329,0.6766909877157415,0.6679704260970837,0.7504506265344953
UCEC_molecular_subtype,extra_trees,tree_ensemble,10,0.8943962384880357,0.0677128871760845,0.98311171060928,0.01062992028201,0.8524273562052387,0.9363651207708328,0.9765232177595944,0.9897002034589656
UCEC_molecular_subtype,logistic_elasticnet,linear,10,0.8890644647140998,0.0615550653047679,0.9818199134633192,0.0130069518872064,0.850912239968939,0.9272166894592606,0.9737581211608788,0.9898817057657596
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,10,0.8885102220653461,0.0384678277943806,0.9794438254590908,0.0153630105247654,0.8646676153813487,0.9123528287493436,0.9699217328839128,0.9889659180342688
UCEC_molecular_subtype,random_forest,tree_ensemble,10,0.8875151453830787,0.0558831059249027,0.98087232406115,0.0093152041401865,0.8528784374834387,0.9221518532827188,0.9750987007184756,0.9866459474038242
UCEC_molecular_subtype,mlp_early_fusion,static_nn,10,0.8798213891921607,0.0376600868560472,0.978686392924066,0.0152771127152554,0.8564794255285644,0.903163352855757,0.969217540362806,0.988155245485326
UCEC_molecular_subtype,hist_gradient_boosting,boosting,10,0.8735420200532744,0.0509264084078891,0.9809997126147832,0.0103591029600598,0.8419775051035822,0.9051065350029668,0.9745790740802668,0.9874203511492996
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.8721544926919977,0.0590628346283551,0.981080939967402,0.0125964387539228,0.8355469685236703,0.9087620168603252,0.9732735863410368,0.988888293593767
