task,seed,model,scenario,mismatch_rate,feature_set,n,accuracy,balanced_accuracy,f1_macro,roc_auc
HNSC_HPV_status,42,extra_trees,test_misaligned,0.0,multiomics_core,147.0,0.9863945578231292,0.9545454545454546,0.9722222222222222,0.9650909090909091
HNSC_HPV_status,42,extra_trees,train_misaligned,0.1,multiomics_core,147.0,0.9863945578231292,0.9545454545454546,0.9722222222222222,0.9727272727272728
HNSC_HPV_status,42,extra_trees,test_misaligned,0.1,multiomics_core,147.0,0.9863945578231292,0.9545454545454546,0.9722222222222222,0.9661818181818183
HNSC_HPV_status,42,extra_trees,train_misaligned,0.25,multiomics_core,147.0,0.9795918367346939,0.9318181818181819,0.9574857803914008,0.9843636363636364
HNSC_HPV_status,42,extra_trees,test_misaligned,0.25,multiomics_core,147.0,0.9591836734693877,0.8636363636363636,0.9093338815789473,0.9861818181818182
HNSC_HPV_status,42,extra_trees,train_misaligned,0.5,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.9745454545454546
HNSC_HPV_status,42,extra_trees,test_misaligned,0.5,multiomics_core,147.0,0.9523809523809523,0.8409090909090908,0.8917867283626039,0.9392727272727273
HNSC_HPV_status,42,extra_trees,train_misaligned,0.75,multiomics_core,147.0,0.9659863945578231,0.8863636363636364,0.9260935143288085,0.968
HNSC_HPV_status,42,extra_trees,test_misaligned,0.75,multiomics_core,147.0,0.891156462585034,0.6363636363636364,0.6842105263157895,0.9098181818181819
HNSC_HPV_status,42,extra_trees,train_misaligned,1.0,multiomics_core,147.0,0.9319727891156463,0.7727272727272727,0.833710407239819,0.9789090909090908
HNSC_HPV_status,42,extra_trees,test_misaligned,1.0,multiomics_core,147.0,0.891156462585034,0.6363636363636364,0.6842105263157895,0.9381818181818182
HNSC_HPV_status,43,logistic_l2,mrna_only,0.0,mrna,147.0,1.0,1.0,1.0,1.0
HNSC_HPV_status,43,logistic_l2,train_misaligned,0.0,multiomics_core,147.0,0.9795918367346939,0.9505454545454546,0.9591401834522375,0.9985454545454545
HNSC_HPV_status,43,logistic_l2,test_misaligned,0.0,multiomics_core,147.0,0.9795918367346939,0.9505454545454546,0.9591401834522375,0.9985454545454545
HNSC_HPV_status,43,logistic_l2,train_misaligned,0.1,multiomics_core,147.0,0.9795918367346939,0.9505454545454546,0.9591401834522375,0.9981818181818182
HNSC_HPV_status,43,logistic_l2,test_misaligned,0.1,multiomics_core,147.0,0.9795918367346939,0.9318181818181819,0.9574857803914008,0.997090909090909
HNSC_HPV_status,43,logistic_l2,train_misaligned,0.25,multiomics_core,147.0,0.9863945578231292,0.9732727272727273,0.9732727272727273,0.9970909090909091
HNSC_HPV_status,43,logistic_l2,test_misaligned,0.25,multiomics_core,147.0,0.9659863945578231,0.9238181818181819,0.9319003057537293,0.996
HNSC_HPV_status,43,logistic_l2,train_misaligned,0.5,multiomics_core,147.0,0.9795918367346939,0.9692727272727273,0.9606425702811245,0.9952727272727272
HNSC_HPV_status,43,logistic_l2,test_misaligned,0.5,multiomics_core,147.0,0.9591836734693877,0.9198181818181819,0.9198181818181819,0.9934545454545455
HNSC_HPV_status,43,logistic_l2,train_misaligned,0.75,multiomics_core,147.0,0.9795918367346939,0.9692727272727273,0.9606425702811245,0.9978181818181818
HNSC_HPV_status,43,logistic_l2,test_misaligned,0.75,multiomics_core,147.0,0.9251700680272109,0.8061818181818181,0.8374057315233786,0.9683636363636363
HNSC_HPV_status,43,logistic_l2,train_misaligned,1.0,multiomics_core,147.0,0.9727891156462585,0.9465454545454546,0.9465454545454546,0.9909090909090909
HNSC_HPV_status,43,logistic_l2,test_misaligned,1.0,multiomics_core,147.0,0.9591836734693877,0.9198181818181819,0.9198181818181819,0.9818181818181819
HNSC_HPV_status,43,extra_trees,mrna_only,0.0,mrna,147.0,0.9659863945578231,0.8863636363636364,0.9260935143288085,0.9978181818181818
HNSC_HPV_status,43,extra_trees,train_misaligned,0.0,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.9996363636363637
HNSC_HPV_status,43,extra_trees,test_misaligned,0.0,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.9996363636363637
HNSC_HPV_status,43,extra_trees,train_misaligned,0.1,multiomics_core,147.0,0.9591836734693877,0.8636363636363636,0.9093338815789473,0.9992727272727273
HNSC_HPV_status,43,extra_trees,test_misaligned,0.1,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.9912727272727273
HNSC_HPV_status,43,extra_trees,train_misaligned,0.25,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.998909090909091
HNSC_HPV_status,43,extra_trees,test_misaligned,0.25,multiomics_core,147.0,0.9591836734693877,0.8636363636363636,0.9093338815789473,0.996
HNSC_HPV_status,43,extra_trees,train_misaligned,0.5,multiomics_core,147.0,0.9727891156462585,0.9090909090909092,0.9421259842519685,0.9978181818181817
HNSC_HPV_status,43,extra_trees,test_misaligned,0.5,multiomics_core,147.0,0.9455782312925171,0.8181818181818181,0.8733850129198966,0.9992727272727273
HNSC_HPV_status,43,extra_trees,train_misaligned,0.75,multiomics_core,147.0,0.9455782312925171,0.8181818181818181,0.8733850129198966,0.9981818181818182
HNSC_HPV_status,43,extra_trees,test_misaligned,0.75,multiomics_core,147.0,0.8843537414965986,0.6136363636363636,0.6533499791926758,0.9596363636363636
HNSC_HPV_status,43,extra_trees,train_misaligned,1.0,multiomics_core,147.0,0.9319727891156463,0.7727272727272727,0.833710407239819,0.9956363636363637
HNSC_HPV_status,43,extra_trees,test_misaligned,1.0,multiomics_core,147.0,0.8639455782312925,0.5454545454545454,0.5462962962962963,0.9385454545454546
HNSC_HPV_status,44,logistic_l2,mrna_only,0.0,mrna,147.0,0.9591836734693877,0.9572727272727273,0.9253048780487805,0.9698181818181818
HNSC_HPV_status,44,logistic_l2,train_misaligned,0.0,multiomics_core,147.0,0.9727891156462585,0.9465454545454546,0.9465454545454546,0.9705454545454546
