task,seed,model,scenario,mismatch_rate,feature_set,best_epoch,best_validation_score,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,4,0.909129659769046,135,0.9185185185185185,0.9142404436522084,0.8869846330986227,0.9716831548004695
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,2,0.9136770518484073,135,0.7481481481481481,0.8043176866706278,0.7005263021440978,0.9313954445656035
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,1,0.9078548262454675,135,0.6962962962962963,0.7565229175136295,0.6449458555923592,0.9037466729482938
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,1,0.9208265519646593,135,0.6444444444444445,0.7004722144041029,0.6069976771196283,0.8285271930380667
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,8,0.9381113238411714,135,0.9037037037037037,0.8750247573776986,0.8516036655211913,0.9580436580270412
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,10,0.870875054099455,135,0.8888888888888888,0.870354734131824,0.8359449388412803,0.9494538313018345
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,2,0.9123014027745485,135,0.6666666666666666,0.5646766947076545,0.5310365006217541,0.7616421176638388
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,26,0.911355886228009,135,0.7925925925925926,0.6036109286883281,0.6248407152003209,0.8280293731044726
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,15,0.8657812296180204,135,0.9111111111111111,0.8500380481804631,0.8555061632951081,0.9720603331505853
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,4,0.8808669483506084,135,0.8814814814814815,0.8528108744827011,0.8204312865497077,0.9497871767706245
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,3,0.9427497481205921,135,0.7037037037037037,0.5531579989784324,0.5286533294952984,0.7349263972970691
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.75,multiomics_core,2,0.9001782531194295,135,0.6148148148148148,0.49857710229227253,0.4517111595763281,0.6941807043869278
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,29,0.8770810389901987,135,0.8814814814814815,0.7857835319135629,0.7836007996974118,0.9113418982282848
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,1.0,multiomics_core,4,0.9097383484046361,135,0.7925925925925926,0.6541264033524096,0.6454263446649233,0.8453713107887305
COADREAD_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,1,0.9108346896070681,135,0.5111111111111111,0.4535030386423576,0.38430658451611827,0.613723151749675
COADREAD_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,1.0,multiomics_core,10,0.8778772378516623,135,0.6888888888888889,0.42062524105867766,0.42662101963372373,0.757784778244673
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,17,0.9672789273812291,135,0.8666666666666667,0.7932263814616757,0.7766817000266477,0.9660007071937947
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,12,0.9521022402357063,135,0.9037037037037037,0.8425430778371955,0.8381313131313132,0.9526000188734209
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,7,0.9445497171200495,135,0.8888888888888888,0.8682907506436918,0.8362207602339181,0.9652524842233494
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,11,0.9743819266837169,135,0.8888888888888888,0.8520499108734403,0.8296487208858343,0.9568287281813369
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,13,0.952578905470352,135,0.8740740740740741,0.8453159041394335,0.8152046783625732,0.95369950550718
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,3,0.9400042944681574,135,0.8,0.7954050306991484,0.7234697669480279,0.9466786861505309
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,14,0.965314283946471,135,0.8962962962962963,0.8249992181880726,0.8266115523855838,0.9459146443376752
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,13,0.9593234131597302,135,0.8666666666666667,0.8277720444903106,0.8021705643467302,0.9557542840005394
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,11,0.961169882972952,135,0.8962962962962963,0.8878985937809466,0.8476589891277805,0.9620117388202024
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,13,0.9423738984362268,135,0.9185185185185185,0.8979996038819568,0.8735586101565481,0.9564028639856712
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,10,0.980704115768528,135,0.8296296296296296,0.7176199560100489,0.7153617550116173,0.895996557960153
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,14,0.9726071615718297,135,0.8740740740740741,0.8027853352930752,0.8042094042094042,0.9216536245571644
COADREAD_molecular_subtype,43,liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,10,0.9298769004177737,135,0.8666666666666667,0.8257080610021786,0.7906053894425987,0.9233886609772665
COADREAD_molecular_subtype,43,small_liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,2,0.9078780925991308,135,0.7037037037037037,0.7212162908757335,0.6373615381461895,0.842094490206868
