task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_ovr_macro_mean
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,153.0,0.6586534653806969,0.042845093494150666,0.6618214457500172,0.8927003480606435
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,153.0,0.8947439477310635,0.01516486498673587,0.9056801003229574,0.9830913714036473
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,153.0,0.8230685717458673,0.03344543602762994,0.8422258297258297,0.9563318368507886
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,153.0,0.7310380629888401,0.0729884064216335,0.7491324812753385,0.9233013810064469
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,153.0,0.5916882863946447,0.011219836498403687,0.6063071188071188,0.8426543597053998
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,153.0,0.4782186921969737,0.01440261770646551,0.4874811035525321,0.7499778741651101
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,153.0,0.3485853474600862,0.03594526737735619,0.35301226551226544,0.6578541505929739
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,153.0,0.8486892941522054,0.017688166966046758,0.8697012643441214,0.9760887866569471
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,153.0,0.8778562189428968,0.042836400524941344,0.8852676424104996,0.9777623514508123
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,153.0,0.839450740362144,0.02888021794614627,0.8617810760667903,0.9727981874057651
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,153.0,0.8012086448751422,0.05203722372606223,0.8184403559403558,0.9581930273055176
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,153.0,0.7553633700401302,0.03730777085718223,0.7767547928262214,0.9319579438130431
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,153.0,0.6257184891911969,0.04544820115433688,0.6276042740328455,0.8572963387426805
